Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
SRFA2 21 T,290.03048,C13H9NO7,290.030625,0.5006,
SRFA2 21 T,290.06689,C14H13NO6,290.067011,-0.4161,
SRFA2 21 T,290.10328,C15H17NO5,290.103396,0.4006,
SRFA2 21 T,290.97812,C12H4O9,290.978255,0.4649,
SRFA2 21 T,291.01451,C13H8O8,291.014641,0.4494,
SRFA2 21 T,291.0148,C13H8O8,291.014641,0.5471,
SRFA2 21 T,291.02976,C17H8O5,291.029897,0.4705,
SRFA2 21 T,291.0509,C14H12O7,291.051026,0.4339,
SRFA2 21 T,291.06615,C18H12O4,291.066282,0.455,
SRFA2 21 T,291.07205,C11H16O9,291.072156,0.363,
SRFA2 21 T,291.08728,C15H16O6,291.087412,0.4528,
SRFA2 21 T,291.10255,C19H16O3,291.102668,0.4051,
SRFA2 21 T,291.12366,C16H20O5,291.123797,0.4716,
SRFA2 21 T,291.16006,C17H24O4,291.160183,0.4218,
SRFA2 21 T,291.19643,C18H28O3,291.196568,0.475,
SRFA2 21 T,292.04615,C13H11NO7,292.046275,0.4289,
SRFA2 21 T,292.08252,C14H15NO6,292.082661,0.4819,
SRFA2 21 T,292.99378,C12H6O9,292.993905,0.4278,
SRFA2 21 T,293.00904,C16H6O6,293.009161,0.4146,
SRFA2 21 T,293.03016,C13H10O8,293.030291,0.4465,
SRFA2 21 T,293.04541,C17H10O5,293.045547,0.4674,
SRFA2 21 T,293.06655,C14H14O7,293.066676,0.4311,
SRFA2 21 T,293.0818,C18H14O4,293.081932,0.452,
SRFA2 21 T,293.10293,C15H18O6,293.103062,0.4499,
SRFA2 21 T,293.11819,C19H18O3,293.118318,0.4367,
SRFA2 21 T,293.13932,C16H22O5,293.139447,0.4345,
SRFA2 21 T,293.15455,C20H22O2,293.154703,0.5236,
SRFA2 21 T,293.1757,C17H26O4,293.175833,0.4532,
SRFA2 21 T,294.04066,C16H9NO5,294.040796,0.4624,
SRFA2 21 T,294.06179,C13H13NO7,294.061925,-0.4602,
SRFA2 21 T,294.09819,C14H17NO6,294.098311,0.4109,
SRFA2 21 T,295.00942,C12H8O9,295.009555,0.459,
SRFA2 21 T,295.02468,C16H8O6,295.024812,0.4459,
SRFA2 21 T,295.04581,C13H12O8,295.045941,0.4437,
SRFA2 21 T,295.06106,C17H12O5,295.061197,0.4645,
SRFA2 21 T,295.08219,C14H16O7,295.082326,0.4623,
SRFA2 21 T,295.09745,C18H16O4,295.097583,0.4492,
SRFA2 21 T,295.11858,C15H20O6,295.118712,0.447,
SRFA2 21 T,295.13383,C19H20O3,295.133968,0.4678,
SRFA2 21 T,295.15496,C16H24O5,295.155097,0.4656,
SRFA2 21 T,296.04104,C12H11NO8,296.04119,-0.5063,
